product_id,product_name,brand,price,discount,storage,color,release_year,years_since_release,sales_factor,preferred_product_id
1,iPhone 15,Apple,12000000,15,128GB,Black,2023,1,0.9,1
2,iPhone 15 Plus,Apple,13000000,15,256GB,Blue,2023,1,0.9,2
3,iPhone 15 Pro,Apple,16000000,10,512GB,Silver,2023,1,0.9,3
4,iPhone 15 Pro Max,Apple,18000000,5,1TB,Gold,2023,1,0.9,4
5,iPhone 14,Apple,11000000,15,128GB,Red,2022,2,0.8,5
6,iPhone 14 Plus,Apple,12000000,5,256GB,Green,2022,2,0.8,6
7,iPhone 14 Pro,Apple,15000000,5,512GB,Purple,2022,2,0.8,7
8,iPhone 14 Pro Max,Apple,17000000,0,128GB,Yellow,2022,2,0.8,8
9,iPhone SE (3rd Gen),Apple,7000000,5,64GB,White,2021,3,0.5,9
10,iPhone 13,Apple,10000000,15,128GB,Pink,2021,3,0.6,10
11,iPhone 13 Pro,Apple,13000000,15,256GB,Silver,2021,3,0.7,11
12,iPhone 13 Pro Max,Apple,15000000,5,512GB,Space Gray,2021,3,0.7,12
